id,trial,repeats,target_coq_file,project,steps,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2207,10,10,x86/ConstpropOpproof.v,compcert,7,1,success,,1,1,0,,357,225,1198809,1169280,29529,21869,1220678
2290,1,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,673,662,3158975,3058176,100799,76641,3235616
2290,2,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,922,912,9718624,9628032,90592,97605,9816229
2290,3,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,701,692,3864245,3788672,75573,68485,3932730
2290,4,10,flocq/Core/Ulp.v,compcert,35,0,agent_timeout,run_timed_out=0 run_rc=124,1,1,0,,1811,1802,29404415,29266432,137983,187895,29592310
2290,5,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,1309,1300,10506877,10414976,91901,131697,10638574
2290,6,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,1516,1506,24300451,24196096,104355,156588,24457039
2290,7,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,1352,1342,10928109,10835584,92525,129334,11057443
2290,8,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,1360,1351,14881082,14782848,98234,139688,15020770
2290,9,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,1044,1034,9278438,9205120,73318,95206,9373644
2290,10,10,flocq/Core/Ulp.v,compcert,35,1,success,,1,1,0,,745,734,5685591,5599360,86231,67106,5752697
2513,1,10,common/Values.v,compcert,4,1,success,,1,1,0,,194,151,836644,798848,37796,15394,852038
2513,2,10,common/Values.v,compcert,4,1,success,,1,1,0,,295,252,1285081,1250816,34265,26708,1311789
2513,3,10,common/Values.v,compcert,4,1,success,,1,1,0,,192,149,638381,606848,31533,16340,654721
