id,trial,repeats,target_coq_file,project,success,outcome,outcome_detail,post_copy_make_ok,theorem_baseline_ok,theorem_modified,post_make_note,elapsed_seconds,agent_run_seconds,tokens_prompt,tokens_prompt_cache_hit,tokens_prompt_cache_miss,tokens_completion,tokens_total
2207,2,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,328,192,644748,632064,12684,15791,660539
2207,3,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,359,224,438880,425984,12896,18357,457237
2207,4,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,246,110,246609,240000,6609,8356,254965
2207,5,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,352,215,449775,438912,10863,18174,467949
2207,6,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,337,200,852123,831104,21019,15788,867911
2207,7,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,322,186,648979,633984,14995,13687,662666
2207,8,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,319,184,611295,594816,16479,15882,627177
2207,9,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,244,109,160188,150784,9404,9287,169475
2207,10,10,x86/ConstpropOpproof.v,compcert,1,success,,1,1,0,,311,174,912129,891008,21121,14007,926136
2290,1,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,445,427,1430249,1407360,22889,37889,1468138
2290,2,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,546,528,2506633,2477696,28937,44170,2550803
2290,3,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,893,875,4927942,4881280,46662,69142,4997084
2290,4,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,1212,1194,7586769,7543808,42961,104919,7691688
2290,5,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,751,734,5416034,5377024,39010,62773,5478807
2290,6,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,1329,1311,8963113,8917120,45993,112891,9076004
2290,7,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,482,465,2041398,1999488,41910,40662,2082060
2290,8,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,584,566,2909203,2880128,29075,51195,2960398
2290,9,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,532,515,2965301,2938368,26933,51120,3016421
2290,10,10,flocq/Core/Ulp.v,compcert,1,success,,1,1,0,,603,586,3292861,3246208,46653,54297,3347158
2513,1,10,common/Values.v,compcert,1,success,,1,1,0,,96,48,68228,62848,5380,2930,71158
2513,2,10,common/Values.v,compcert,1,success,,1,1,0,,124,76,116118,110848,5270,5202,121320
2513,3,10,common/Values.v,compcert,1,success,,1,1,0,,132,85,132091,123520,8571,6212,138303
2513,4,10,common/Values.v,compcert,1,success,,1,1,0,,166,117,234519,225792,8727,7947,242466
2513,5,10,common/Values.v,compcert,1,success,,1,1,0,,99,51,121485,114432,7053,2875,124360
2513,6,10,common/Values.v,compcert,1,success,,1,1,0,,136,88,228504,220416,8088,5665,234169
2513,7,10,common/Values.v,compcert,1,success,,1,1,0,,111,63,118036,112512,5524,3985,122021
2513,8,10,common/Values.v,compcert,1,success,,1,1,0,,136,87,176270,168960,7310,6606,182876
2513,9,10,common/Values.v,compcert,1,success,,1,1,0,,142,94,273319,261760,11559,6169,279488
2513,10,10,common/Values.v,compcert,1,success,,1,1,0,,93,45,72523,66176,6347,2701,75224
2639,1,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,268,241,827378,806528,20850,22115,849493
2639,2,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,178,151,450747,434688,16059,12602,463349
2639,3,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,108,82,190943,181248,9695,6094,197037
2639,4,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,281,255,638831,622464,16367,21797,660628
2639,5,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,261,235,545677,529792,15885,21824,567501
2639,6,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,186,160,365824,353920,11904,13890,379714
2639,7,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,100,74,229004,216960,12044,5589,234593
2639,8,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,156,129,471104,456960,14144,10574,481678
2639,9,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,362,336,861452,841472,19980,30165,891617
2639,10,10,theories/BuchAux.v,buchberger,1,success,,1,1,0,,273,248,1467707,1443456,24251,24312,1492019
2744,1,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,72,61,142723,135936,6787,4607,147330
2744,2,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,85,74,173380,164224,9156,5609,178989
2744,3,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,88,76,106046,98816,7230,6601,112647
2744,4,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,132,121,325394,315648,9746,9965,335359
2744,5,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,75,64,140390,130944,9446,4763,145153
2744,6,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,116,105,255044,246272,8772,8112,263156
2744,7,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,84,72,125578,118016,7562,5695,131273
2744,8,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,110,99,247385,233600,13785,7597,254982
2744,9,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,76,64,133758,126464,7294,5661,139419
2744,10,10,flocq/Core/Raux.v,compcert,1,success,,1,1,0,,91,79,274124,262528,11596,5777,279901
2868,1,10,theories/DivTerm.v,buchberger,1,success,,1,1,0,,541,528,2384105,2353280,30825,47342,2431447
2868,2,10,theories/DivTerm.v,buchberger,1,success,,1,1,0,,487,475,3051966,3016320,35646,45006,3096972
